index,bits,hamming_weight,integrity_valid,coset_id,coset_representative,nearest_code_distance,nearest_codeword_count,decoder_status
306,100110010,4,1,3,000000011,2,1,uncorrectable
307,100110011,5,0,2,000000010,1,1,corrected
308,100110100,4,1,5,000000101,2,4,uncorrectable
309,100110101,5,0,4,000000100,1,1,corrected
310,100110110,5,0,7,000000111,3,4,uncorrectable
311,100110111,6,1,6,000000110,2,1,uncorrectable
312,100111000,4,1,9,000001001,2,4,uncorrectable
313,100111001,5,0,8,000001000,1,1,corrected
314,100111010,5,0,11,000001011,3,4,uncorrectable
315,100111011,6,1,10,000001010,2,1,uncorrectable
